participant,trial_number,stimulus,trial_type,target_trial,surveillance_correct_response
71,1,stimuli/filler36.jpg,filler,FALSE,None
71,2,stimuli/filler29.jpg,filler,FALSE,None
71,3,stimuli/filler30.jpg,filler,FALSE,None
71,4,stimuli/filler6.jpg,filler,FALSE,None
71,5,stimuli/filler35.jpg,filler,FALSE,None
71,6,stimuli/filler3.jpg,filler,FALSE,None
71,7,stimuli/filler43.jpg,filler,FALSE,None
71,8,stimuli/filler25.jpg,filler,FALSE,None
71,9,stimuli/target5_3.jpg,target,TRUE,space
71,10,stimuli/blank.jpg,blank,FALSE,None
71,11,stimuli/cs1_neg5.jpg,CSUS,FALSE,None
71,12,stimuli/blank.jpg,blank,FALSE,None
71,13,stimuli/filler14.jpg,filler,FALSE,None
71,14,stimuli/filler9.jpg,filler,FALSE,None
71,15,stimuli/filler52.jpg,filler,FALSE,None
71,16,stimuli/filler12.jpg,filler,FALSE,None
71,17,stimuli/target5_2.jpg,target,TRUE,space
71,18,stimuli/filler7.jpg,filler,FALSE,None
71,19,stimuli/filler17.jpg,filler,FALSE,None
71,20,stimuli/blank.jpg,blank,FALSE,None
71,21,stimuli/cs2_pos4.jpg,CSUS,FALSE,None
71,22,stimuli/blank.jpg,blank,FALSE,None
71,23,stimuli/target5_8.jpg,target,TRUE,space
71,24,stimuli/filler1.jpg,filler,FALSE,None
71,25,stimuli/filler44.jpg,filler,FALSE,None
71,26,stimuli/filler32.jpg,filler,FALSE,None
71,27,stimuli/filler39.jpg,filler,FALSE,None
71,28,stimuli/filler22.jpg,filler,FALSE,None
71,29,stimuli/filler20.jpg,filler,FALSE,None
71,30,stimuli/blank.jpg,blank,FALSE,None
71,31,stimuli/cs1_neg12.jpg,CSUS,FALSE,None
71,32,stimuli/blank.jpg,blank,FALSE,None
71,33,stimuli/target5_6.jpg,target,TRUE,space
71,34,stimuli/filler26.jpg,filler,FALSE,None
71,35,stimuli/target5_9.jpg,target,TRUE,space
71,36,stimuli/filler28.jpg,filler,FALSE,None
71,37,stimuli/filler5.jpg,filler,FALSE,None
71,38,stimuli/filler2.jpg,filler,FALSE,None
71,39,stimuli/filler11.jpg,filler,FALSE,None
71,40,stimuli/blank.jpg,blank,FALSE,None
71,41,stimuli/cs2_pos16.jpg,CSUS,FALSE,None
71,42,stimuli/blank.jpg,blank,FALSE,None
71,43,stimuli/filler15.jpg,filler,FALSE,None
71,44,stimuli/filler45.jpg,filler,FALSE,None
71,45,stimuli/filler10.jpg,filler,FALSE,None
71,46,stimuli/target5_4.jpg,target,TRUE,space
71,47,stimuli/filler8.jpg,filler,FALSE,None
71,48,stimuli/filler24.jpg,filler,FALSE,None
71,49,stimuli/filler37.jpg,filler,FALSE,None
71,50,stimuli/blank.jpg,blank,FALSE,None
71,51,stimuli/cs1_neg11.jpg,CSUS,FALSE,None
71,52,stimuli/blank.jpg,blank,FALSE,None
71,53,stimuli/filler27.jpg,filler,FALSE,None
71,54,stimuli/filler51.jpg,filler,FALSE,None
71,55,stimuli/filler47.jpg,filler,FALSE,None
71,56,stimuli/filler42.jpg,filler,FALSE,None
71,57,stimuli/filler31.jpg,filler,FALSE,None
71,58,stimuli/filler50.jpg,filler,FALSE,None
71,59,stimuli/filler19.jpg,filler,FALSE,None
71,60,stimuli/blank.jpg,blank,FALSE,None
71,61,stimuli/cs2_pos6.jpg,CSUS,FALSE,None
71,62,stimuli/blank.jpg,blank,FALSE,None
71,63,stimuli/filler48.jpg,filler,FALSE,None
71,64,stimuli/target5_10.jpg,target,TRUE,space
71,65,stimuli/target5_1.jpg,target,TRUE,space
71,66,stimuli/filler38.jpg,filler,FALSE,None
71,67,stimuli/filler40.jpg,filler,FALSE,None
71,68,stimuli/target5_7.jpg,target,TRUE,space
71,69,stimuli/filler18.jpg,filler,FALSE,None
71,70,stimuli/blank.jpg,blank,FALSE,None
71,71,stimuli/cs1_neg20.jpg,CSUS,FALSE,None
71,72,stimuli/blank.jpg,blank,FALSE,None
71,73,stimuli/filler49.jpg,filler,FALSE,None
71,74,stimuli/filler21.jpg,filler,FALSE,None
71,75,stimuli/filler23.jpg,filler,FALSE,None
71,76,stimuli/filler34.jpg,filler,FALSE,None
71,77,stimuli/target5_5.jpg,target,TRUE,space
71,78,stimuli/filler13.jpg,filler,FALSE,None
71,79,stimuli/filler16.jpg,filler,FALSE,None
71,80,stimuli/blank.jpg,blank,FALSE,None
71,81,stimuli/cs2_pos7.jpg,CSUS,FALSE,None
71,82,stimuli/blank.jpg,blank,FALSE,None
71,83,stimuli/filler33.jpg,filler,FALSE,None
71,84,stimuli/filler41.jpg,filler,FALSE,None
71,85,stimuli/filler4.jpg,filler,FALSE,None
71,86,stimuli/filler46.jpg,filler,FALSE,None
