date,time,group,computer,subject,build,Bergmite_Liking_response,Bergmite_Liking_latency,Bergmite_familiar_response,Bergmite_familiar_latency,Carbink_Liking_response,Carbink_Liking_latency,Carbink_familiar_response,Carbink_familiar_latency,Cranidos_Liking_response,Cranidos_Liking_latency,Cranidos_familiar_response,Cranidos_familiar_latency,Frillish_Liking_response,Frillish_Liking_latency,Frillish_familiar_response,Frillish_familiar_latency,Golett_Liking_response,Golett_Liking_latency,Golett_familiar_response,Golett_familiar_latency,Gourgeist_Liking_response,Gourgeist_Liking_latency,Gourgeist_familiar_response,Gourgeist_familiar_latency,Grubbin_Liking_response,Grubbin_Liking_latency,Grubbin_familiar_response,Grubbin_familiar_latency,Jangmo_Liking_response,Jangmo_Liking_latency,Jangmo_familiar_response,Jangmo_familiar_latency,Magearna_Liking_response,Magearna_Liking_latency,Magearna_familiar_response,Magearna_familiar_latency,Palpitoad_Liking_response,Palpitoad_Liking_latency,Palpitoad_familiar_response,Palpitoad_familiar_latency,Phantump_Liking_response,Phantump_Liking_latency,Phantump_familiar_response,Phantump_familiar_latency,Poipole_Liking_response,Poipole_Liking_latency,Poipole_familiar_response,Poipole_familiar_latency,Scatterbug_Liking_response,Scatterbug_Liking_latency,Scatterbug_familiar_response,Scatterbug_familiar_latency,Scraggy_Liking_response,Scraggy_Liking_latency,Scraggy_familiar_response,Scraggy_familiar_latency,Shelmet_Liking_response,Shelmet_Liking_latency,Shelmet_familiar_response,Shelmet_familiar_latency,Sliggoo_Liking_response,Sliggoo_Liking_latency,Sliggoo_familiar_response,Sliggoo_familiar_latency,Stunfisk_Liking_response,Stunfisk_Liking_latency,Stunfisk_familiar_response,Stunfisk_familiar_latency,Swadloon_Liking_response,Swadloon_Liking_latency,Swadloon_familiar_response,Swadloon_familiar_latency,Wimpod_Liking_response,Wimpod_Liking_latency,Wimpod_familiar_response,Wimpod_familiar_latency,Zorua_Liking_response,Zorua_Liking_latency,Zorua_familiar_response,Zorua_familiar_latency
21819,11:10:37,1,2,1,4.0.8.0,-2,6343,0,6343,-1,4904,0,4904,-3,4368,0,4368,3,3252,0,3252,-1,5190,0,5190,-2,5066,0,5066,0,3808,0,3808,-2,3414,0,3414,1,4149,0,4149,2,4678,0,4678,-4,2904,0,2904,-4,4354,0,4354,1,17112,0,17112,3,3927,0,3927,-2,5299,0,5299,-4,4275,0,4275,-3,4517,0,4517,1,4249,0,4249,-4,3765,0,3765,-2,3318,0,3318
21819,10:16:53,1,1,2,4.0.10.0,0,4361,0,4361,0,5625,0,5625,-1,5922,0,5922,2,13673,0,13673,-2,5624,0,5624,-4,4770,0,4770,-3,5629,0,5629,0,6953,0,6953,-1,8918,0,8918,2,4336,0,4336,-3,7386,0,7386,1,5514,0,5514,-1,7749,0,7749,2,8598,0,8598,0,3553,0,3553,4,7203,0,7203,2,9178,0,9178,1,5204,0,5204,-3,4037,0,4037,-1,21951,0,21951
21819,11:15:02,1,3,3,4.0.10.0,2,5810,0,5810,0,5064,0,5064,-2,5695,0,5695,-2,5134,0,5134,-1,8054,0,8054,2,5941,0,5941,0,4630,0,4630,-2,4888,0,4888,3,5361,0,5361,3,4949,0,4949,-1,5348,0,5348,1,6639,0,6639,-1,5293,0,5293,2,6075,0,6075,2,6086,0,6086,3,3913,0,3913,0,6574,0,6574,-2,5572,0,5572,1,6106,0,6106,-1,16269,0,16269
21819,13:55:12,1,2,4,4.0.8.0,-2,4739,1,4739,0,4869,0,4869,4,4545,8,4545,-2,4613,2,4613,-1,5850,2,5850,3,6837,2,6837,3,5237,4,5237,-1,6611,2,6611,3,5015,8,5015,4,4750,7,4750,2,5507,7,5507,2,6853,1,6853,-3,4840,3,4840,0,4545,2,4545,-2,4657,1,4657,4,5614,2,5614,-2,7274,1,7274,-3,6327,5,6327,2,9790,6,9790,-2,14288,8,14288
21819,13:29:56,1,1,5,4.0.10.0,-4,4444,0,4444,1,10332,0,10332,-1,5488,0,5488,-1,11902,0,11902,-1,5632,0,5632,-3,6261,0,6261,0,6769,0,6769,-2,8105,1,8105,3,3782,0,3782,2,3797,0,3797,-3,5822,0,5822,3,4298,0,4298,1,5252,0,5252,-1,6141,0,6141,-2,5340,0,5340,4,4312,0,4312,-1,4171,0,4171,-2,5097,0,5097,-2,4334,0,4334,-2,4827,0,4827
21819,14:00:42,1,3,6,4.0.10.0,-3,4978,0,4978,-2,2971,0,2971,-3,3617,0,3617,-2,3171,0,3171,-3,3666,0,3666,-3,3275,0,3275,-3,3621,0,3621,-3,4403,0,4403,-3,5469,0,5469,-2,2511,0,2511,-4,3246,0,3246,-3,12292,0,12292,-1,3080,0,3080,0,3875,0,3875,-2,4739,0,4739,-3,3766,0,3766,-4,3486,0,3486,-2,3664,0,3664,-3,4243,0,4243,1,4236,0,4236
21819,14:56:36,1,2,7,4.0.8.0,-2,5191,0,5191,3,8781,0,8781,-2,5766,0,5766,0,5268,0,5268,-3,6912,0,6912,-2,5767,0,5767,-3,4436,0,4436,4,6233,0,6233,4,7220,0,7220,0,6033,0,6033,-3,6271,0,6271,3,12788,0,12788,-2,8150,0,8150,-1,3947,0,3947,3,7329,0,7329,2,6116,0,6116,3,9125,0,9125,2,6106,0,6106,-2,3838,0,3838,-2,4948,0,4948
21819,15:03:30,1,3,8,4.0.10.0,1,8479,0,8479,3,4130,0,4130,-3,6273,4,6273,2,3592,0,3592,-1,4478,0,4478,-2,7538,0,7538,-3,4327,0,4327,-1,4142,0,4142,-1,3988,0,3988,-2,4623,0,4623,-1,18067,0,18067,2,5598,0,5598,2,5910,0,5910,3,6150,3,6150,4,4466,0,4466,3,5724,0,5724,0,6560,0,6560,-2,3195,0,3195,-3,4506,0,4506,2,6399,0,6399
21819,16:05:21,1,2,9,4.0.8.0,1,12756,0,12756,-1,7784,0,7784,3,6148,0,6148,-1,5673,0,5673,3,16518,0,16518,-2,8033,0,8033,0,9496,0,9496,1,15947,0,15947,2,7773,0,7773,3,14303,0,14303,-1,13848,0,13848,1,7589,0,7589,-1,9849,0,9849,2,14671,0,14671,1,10820,0,10820,3,4119,0,4119,0,5169,0,5169,-3,39898,0,39898,0,4276,0,4276,2,9100,0,9100
21819,15:09:16,1,1,10,4.0.10.0,2,9762,1,9762,3,9774,0,9774,2,7206,0,7206,-3,6661,0,6661,0,8693,0,8693,-1,8823,0,8823,-1,9187,0,9187,-1,7311,0,7311,-4,5560,0,5560,2,6363,0,6363,0,6821,0,6821,-2,19681,0,19681,-1,10883,0,10883,0,18914,0,18914,-2,8586,0,8586,1,10273,0,10273,-3,6583,0,6583,-1,5217,0,5217,-3,9376,0,9376,-3,6601,0,6601
