participant,trial_number,evaluation_stimulus,trial_type,left_stimulus,right_stimulus,evaluation_response_indicating_CS1_preferred
211,1,stimuli/evaluation_stimuli_filler_7.jpg,filler,t,f,None
211,2,stimuli/evaluation_stimuli_filler_9.jpg,filler,t,t,None
211,3,stimuli/evaluation_stimuli_CS_5.jpg,CS,CS2,t,i
211,4,stimuli/evaluation_stimuli_filler_11.jpg,filler,t,f,None
211,5,stimuli/evaluation_stimuli_filler_14.jpg,filler,t,t,None
211,6,stimuli/evaluation_stimuli_CS_10.jpg,CS,t,CS2,e
211,7,stimuli/evaluation_stimuli_filler_6.jpg,filler,f,t,None
211,8,stimuli/evaluation_stimuli_filler_13.jpg,filler,t,t,None
211,9,stimuli/evaluation_stimuli_CS_4.jpg,CS,CS2,CS1,i
211,10,stimuli/evaluation_stimuli_filler_2.jpg,filler,f,t,None
211,11,stimuli/evaluation_stimuli_filler_20.jpg,filler,t,t,None
211,12,stimuli/evaluation_stimuli_CS_7.jpg,CS,f,CS2,e
211,13,stimuli/evaluation_stimuli_filler_4.jpg,filler,f,f,None
211,14,stimuli/evaluation_stimuli_filler_16.jpg,filler,t,t,None
211,15,stimuli/evaluation_stimuli_CS_2.jpg,CS,CS1,f,e
211,16,stimuli/evaluation_stimuli_filler_1.jpg,filler,f,t,None
211,17,stimuli/evaluation_stimuli_filler_3.jpg,filler,f,t,None
211,18,stimuli/evaluation_stimuli_CS_1.jpg,CS,CS1,CS2,e
211,19,stimuli/evaluation_stimuli_filler_12.jpg,filler,t,t,None
211,20,stimuli/evaluation_stimuli_filler_19.jpg,filler,t,t,None
211,21,stimuli/evaluation_stimuli_CS_6.jpg,CS,CS2,t,i
211,22,stimuli/evaluation_stimuli_filler_18.jpg,filler,t,f,None
211,23,stimuli/evaluation_stimuli_filler_17.jpg,filler,t,t,None
211,24,stimuli/evaluation_stimuli_CS_8.jpg,CS,t,CS1,i
211,25,stimuli/evaluation_stimuli_filler_5.jpg,filler,f,t,None
211,26,stimuli/evaluation_stimuli_filler_10.jpg,filler,t,t,None
211,27,stimuli/evaluation_stimuli_CS_9.jpg,CS,t,CS1,i
211,28,stimuli/evaluation_stimuli_filler_15.jpg,filler,t,f,None
211,29,stimuli/evaluation_stimuli_filler_8.jpg,filler,t,f,None
211,30,stimuli/evaluation_stimuli_CS_3.jpg,CS,CS1,t,e
