participant,trial_number,stimulus,trial_type,target_trial,correct_response
60,1,stimuli/filler40.jpg,filler,FALSE,None
60,2,stimuli/target1_4.jpg,target,TRUE,space
60,3,stimuli/filler22.jpg,filler,FALSE,None
60,4,stimuli/filler30.jpg,filler,FALSE,None
60,5,stimuli/filler15.jpg,filler,FALSE,None
60,6,stimuli/filler10.jpg,filler,FALSE,None
60,7,stimuli/filler20.jpg,filler,FALSE,None
60,8,stimuli/filler44.jpg,filler,FALSE,None
60,9,stimuli/filler27.jpg,filler,FALSE,None
60,10,stimuli/blank.jpg,blank,FALSE,None
60,11,stimuli/cs1_pos16.jpg,CSUS,FALSE,None
60,12,stimuli/blank.jpg,blank,FALSE,None
60,13,stimuli/target1_8.jpg,target,TRUE,space
60,14,stimuli/filler39.jpg,filler,FALSE,None
60,15,stimuli/filler48.jpg,filler,FALSE,None
60,16,stimuli/filler34.jpg,filler,FALSE,None
60,17,stimuli/target1_2.jpg,target,TRUE,space
60,18,stimuli/target1_1.jpg,target,TRUE,space
60,19,stimuli/target1_7.jpg,target,TRUE,space
60,20,stimuli/blank.jpg,blank,FALSE,None
60,21,stimuli/cs2_neg8.jpg,CSUS,FALSE,None
60,22,stimuli/blank.jpg,blank,FALSE,None
60,23,stimuli/filler11.jpg,filler,FALSE,None
60,24,stimuli/filler28.jpg,filler,FALSE,None
60,25,stimuli/filler19.jpg,filler,FALSE,None
60,26,stimuli/target1_10.jpg,target,TRUE,space
60,27,stimuli/filler13.jpg,filler,FALSE,None
60,28,stimuli/filler23.jpg,filler,FALSE,None
60,29,stimuli/filler33.jpg,filler,FALSE,None
60,30,stimuli/blank.jpg,blank,FALSE,None
60,31,stimuli/cs1_pos9.jpg,CSUS,FALSE,None
60,32,stimuli/blank.jpg,blank,FALSE,None
60,33,stimuli/filler29.jpg,filler,FALSE,None
60,34,stimuli/target1_3.jpg,target,TRUE,space
60,35,stimuli/filler4.jpg,filler,FALSE,None
60,36,stimuli/target1_9.jpg,target,TRUE,space
60,37,stimuli/filler7.jpg,filler,FALSE,None
60,38,stimuli/filler49.jpg,filler,FALSE,None
60,39,stimuli/filler21.jpg,filler,FALSE,None
60,40,stimuli/blank.jpg,blank,FALSE,None
60,41,stimuli/cs2_neg12.jpg,CSUS,FALSE,None
60,42,stimuli/blank.jpg,blank,FALSE,None
60,43,stimuli/filler41.jpg,filler,FALSE,None
60,44,stimuli/filler35.jpg,filler,FALSE,None
60,45,stimuli/filler52.jpg,filler,FALSE,None
60,46,stimuli/filler42.jpg,filler,FALSE,None
60,47,stimuli/filler6.jpg,filler,FALSE,None
60,48,stimuli/filler25.jpg,filler,FALSE,None
60,49,stimuli/filler12.jpg,filler,FALSE,None
60,50,stimuli/blank.jpg,blank,FALSE,None
60,51,stimuli/cs1_pos11.jpg,CSUS,FALSE,None
60,52,stimuli/blank.jpg,blank,FALSE,None
60,53,stimuli/filler37.jpg,filler,FALSE,None
60,54,stimuli/filler31.jpg,filler,FALSE,None
60,55,stimuli/filler17.jpg,filler,FALSE,None
60,56,stimuli/filler18.jpg,filler,FALSE,None
60,57,stimuli/filler1.jpg,filler,FALSE,None
60,58,stimuli/filler47.jpg,filler,FALSE,None
60,59,stimuli/target1_5.jpg,target,TRUE,space
60,60,stimuli/blank.jpg,blank,FALSE,None
60,61,stimuli/cs2_neg8.jpg,CSUS,FALSE,None
60,62,stimuli/blank.jpg,blank,FALSE,None
60,63,stimuli/filler24.jpg,filler,FALSE,None
60,64,stimuli/filler3.jpg,filler,FALSE,None
60,65,stimuli/filler36.jpg,filler,FALSE,None
60,66,stimuli/filler51.jpg,filler,FALSE,None
60,67,stimuli/filler16.jpg,filler,FALSE,None
60,68,stimuli/filler50.jpg,filler,FALSE,None
60,69,stimuli/target1_6.jpg,target,TRUE,space
60,70,stimuli/blank.jpg,blank,FALSE,None
60,71,stimuli/cs1_pos13.jpg,CSUS,FALSE,None
60,72,stimuli/blank.jpg,blank,FALSE,None
60,73,stimuli/filler45.jpg,filler,FALSE,None
60,74,stimuli/filler43.jpg,filler,FALSE,None
60,75,stimuli/filler14.jpg,filler,FALSE,None
60,76,stimuli/filler9.jpg,filler,FALSE,None
60,77,stimuli/filler38.jpg,filler,FALSE,None
60,78,stimuli/filler32.jpg,filler,FALSE,None
60,79,stimuli/filler46.jpg,filler,FALSE,None
60,80,stimuli/blank.jpg,blank,FALSE,None
60,81,stimuli/cs2_neg15.jpg,CSUS,FALSE,None
60,82,stimuli/blank.jpg,blank,FALSE,None
60,83,stimuli/filler8.jpg,filler,FALSE,None
60,84,stimuli/filler2.jpg,filler,FALSE,None
60,85,stimuli/filler26.jpg,filler,FALSE,None
60,86,stimuli/filler5.jpg,filler,FALSE,None
