date,time,group,subject,build,sex_response,sex_latency,age_response,age_latency
21819,10:19:59,1,2,4.0.10.0,vrouw,7952,21,7952
21819,13:32:03,1,5,4.0.10.0,vrouw,8600,21,8600
21819,15:12:33,1,10,4.0.10.0,man,12807,20,12807
21919,13:27:03,1,14,4.0.10.0,vrouw,8150,23,8150
21919,14:16:08,1,16,4.0.10.0,vrouw,7156,21,7156
21919,15:19:26,1,19,4.0.10.0,man,6254,18,6254
22019,10:19:06,1,21,4.0.10.0,vrouw,8812,20,8812
22019,14:06:10,1,23,4.0.10.0,vrouw,6447,19,6447
22019,15:10:34,1,24,4.0.10.0,man,7856,24,7856
22119,13:07:24,1,25,4.0.10.0,vrouw,8631,19,8631
22119,14:13:54,1,29,4.0.10.0,man,14518,18,14518
22119,15:09:26,1,31,4.0.10.0,vrouw,5920,22,5920
22219,10:06:23,1,34,4.0.10.0,vrouw,6755,21,6755
22219,13:09:43,1,36,4.0.10.0,vrouw,8527,25,8527
22519,10:21:25,1,38,4.0.10.0,vrouw,9330,19,9330
22519,13:06:52,1,39,4.0.10.0,vrouw,10794,29,10794
22519,14:19:20,1,40,4.0.10.0,vrouw,8586,22,8586
22519,15:13:51,1,42,4.0.10.0,vrouw,7012,21,7012
22619,10:23:19,1,43,4.0.10.0,vrouw,13004,23,13004
22619,13:33:56,1,45,4.0.10.0,vrouw,7298,23,7298
22619,15:07:23,1,49,4.0.10.0,vrouw,9170,19,9170
22719,13:20:45,1,50,4.0.10.0,vrouw,11080,19,11080
22719,14:34:56,1,53,4.0.10.0,vrouw,8014,21,8014
22819,14:44:09,1,56,4.0.10.0,vrouw,5894,21,5894
30119,10:19:55,1,60,4.0.10.0,vrouw,7872,20,7872
30119,13:21:26,1,63,4.0.10.0,vrouw,6683,22,6683
30119,15:19:02,1,68,4.0.10.0,vrouw,8628,19,8628
30419,10:13:18,1,70,4.0.10.0,vrouw,8739,20,8739
30419,13:20:19,1,72,4.0.10.0,vrouw,7893,18,7893
30419,14:25:21,1,76,4.0.10.0,vrouw,7332,24,7332
30519,10:21:05,1,79,4.0.10.0,vrouw,11945,20,11945
30519,13:20:18,1,84,4.0.10.0,vrouw,7055,20,7055
30519,14:20:54,1,85,4.0.10.0,vrouw,8805,20,8805
21819,11:12:23,1,1,4.0.8.0,vrouw,7509,20,7509
21819,13:58:49,1,4,4.0.8.0,man,6266,21,6266
21819,14:59:10,1,7,4.0.8.0,vrouw,7936,20,7936
21819,16:09:28,1,9,4.0.8.0,vrouw,7449,27,7449
21919,11:03:38,1,12,4.0.8.0,vrouw,7571,19,7571
21919,14:05:47,1,13,4.0.8.0,man,7178,20,7178
21919,15:01:19,1,17,4.0.8.0,vrouw,8955,22,8955
21919,16:16:40,1,20,4.0.8.0,vrouw,8875,21,8875
